the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.86832959323891 40.75735273037386),4,Queens,403,21,35,13,14,2543,816,Municipal Facilities,backed,06/11/2014,100-01 Northern Boulevard,100-01 Northern Boulevard,Northern Bouleverd,100th Street and 101st Street,Queens,403,Not Applicable,Not Applicable,40.757361,-73.868331,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88136158880542 40.75004073234791),4,Queens,403,21,34,13,14,3940,515,Senior Safety,backed,02/06/2018,8502 37th Avenue,8502 37th Avenue,37th Avenue,85th Street & 86th Street,Queens,403,Not Applicable,Not Applicable,40.750049,-73.881363,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87157659341877 40.73383973455544),4,Queens,404,25,35,16,6,2613,1296,General,backed,08/04/2014,90-15 Queens Boulevard,90-15 Queens Boulevard,59th Avenue,57th & 59th Avenue,Queens,404,Not Applicable,Not Applicable,40.733848,-73.871578,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.85200860179808 40.693341741821264),4,Queens,409,32,38,15,7,3943,340,Bus Route,backed 2,11/13/2017,87-14 Woodhaven Blvd,87-14 Woodhaven Blvd,Woodhaven Blvd,Jamaica Avenue & 88th Avenue,Queens,0,Q52,Not Applicable,40.69335,-73.85201,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91836657592165 40.767658730060695),4,Queens,401,22,36,12,12,2303,1170,General,backed,12/12/2013,33-02 28th Avenue,33-02 28th Avenue,28th Avenue,33rd & 34th Street,Queens,401,Not Applicable,Not Applicable,40.767667,-73.918368,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,399,Plaza,backless 2,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9184215776869 40.743123734345616),4,Queens,402,26,37,12,14,2516,1243,BID,backed,07/25/2014,46-21 Queens Boulevard,46-21 Queens Boulevard,Queens Boulevard,46th Street & 47th Street,Queens,402,Not Applicable,Sunnyside Shines,40.743132,-73.918423,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9059705834822 40.71288374036419),4,Queens,405,30,37,15,6,1503,486,General,backless,06/12/2013,5802 Metropolitan Avenue,5802 Metropolitan Avenue,Metropolitan Avenue,Forest Avenue & 60th Street,Queens,405,Q54,Not Applicable,40.712892,-73.905972,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93035657339631 40.7568687321989),4,Queens,401,26,30,12,12,4137,0,Other,backless,05/01/2018,30-13 36th Avenue,30-13 36th Avenue,31st Street,35th & 36th Avenue,Queens,401,Not Applicable,Not Applicable,40.756877,-73.930358,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76766978796856 40.69238113233924),4,Queens,412,27,29,14,5,3619,121,General,backed 2,05/13/2017,179-24 Linden Blvd,179-24 Linden Blvd,Linden Blvd,Newburg Street & 180th Street,Queens,412,Not Applicable,Not Applicable,40.6923811323,-73.767669788,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.89063858623742 40.74908173233256),4,Queens,403,25,39,13,14,4106,792,General,backed 2,02/07/2019,75-07 37th Avenue,75-07 37th Avenue,37th Avenue,75th Street & 76th Street,Queens,403,Not Applicable,Not Applicable,40.74909,-73.89064,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93179557174751 40.765090731075055),4,Queens,401,22,36,12,12,2945,1781,Municipal Facilities,backless,11/06/2014,32-09 21st Street,21-10 Broadway,Broadway,21st Street & 23rd Street,Queens,401,Q104,Not Applicable,40.765099,-73.931797,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4
POINT (-73.81059861649621 40.67955174363187),4,Queens,410,28,31,10,5,3242,2380,Municipal Facilities,backed,05/18/2016,130-02 115th Avenue,130-02 115th Avenue,115th Avenue,130th Street & 131st Street,Queens,410,Not Applicable,Not Applicable,40.67956,-73.8106,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8783485905863 40.739783734147736),4,Queens,404,25,35,16,6,3013,1440,General,backed,02/02/2015,84-20 Broadway,84-20 Broadway,Broadway,St. James Avenue and Corona Avenue,Queens,404,Not Applicable,Not Applicable,40.739792,-73.87835,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.70281564613394 40.751867725267005),4,Queens,413,23,26,11,3,2213,1097,General,backed,12/09/2013,271-11 Union Turnpike,271-11 Union Turnpike,Union Turnpike,271st Street and Hewlett Street,Queens,413,Q46,Not Applicable,40.751876,-73.702817,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91855557791779 40.74313973484147),4,Queens,402,26,37,12,14,1074,184,BID,backed,09/11/2012,46-01 Queens Blvd,46-01 Queens Blvd,46th Street,46th Street and Carolyn Avenue,Queens,402,Not Applicable,Sunnyside Shines,40.743148,-73.918557,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75320563560811 40.65611774615174),4,Queens,413,31,31,10,5,3240,3240,Municipal Facilities,backed,05/25/2016,148-15 230th Street,148-15 230th Street,230th Street,148th Avenue & 149th Avenue,Queens,413,Not Applicable,Not Applicable,40.656126,-73.753207,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.87364059195588 40.74872373230536),4,Queens,403,21,34,13,14,2492,1179,General,backed,06/10/2014,93-01 Roosevelt Avenue,93-01 Roosevelt Avenue,93rd Street,93rd Street and 94th Street,Queens,403,Not Applicable,Not Applicable,40.748732,-73.873642,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93401657152123 40.77164572997865),4,Queens,401,22,37,12,12,4009,4444,Municipal Facilities,backed 2,02/13/2018,30-01 Vernon Blvd,30-01 Vernon Blvd,Vernon Blvd,Wellington Court & 30th Road,Queens,401,Not Applicable,Not Applicable,40.771654,-73.934018,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.82040361328791 40.67201374530561),4,Queens,410,32,31,10,5,587,131,Bus Route,backless,06/29/2012,133-55 Lefferts Boulevard,133-55 Lefferts Boulevard,Lefferts Boulevard,135th Avenues and 133rd Avenues,Queens,410,Q10,Not Applicable,40.672022,-73.820405,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.8622025954163 40.75086273118623),4,Queens,403,21,39,13,14,2544,945,Municipal Facilities,backed,06/11/2014,38-23 104th Street,38-23 104th Street,104th Street,38th Avenue and 39th Avenue,Queens,403,Not Applicable,Not Applicable,40.750871,-73.862204,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81522561379285 40.702474738977905),4,Queens,412,24,24,14,5,2071,709,Community Health Centers,backed,08/05/2013,137-50 Jamaica Avenue,137-50 Jamaica Avenue,138th Street,90th Avenue and Jamaica Avenue,Queens,412,Not Applicable,Not Applicable,40.702483,-73.815227,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77892162547182 40.69170373975961),4,Queens,412,27,29,14,5,3616,101,General,backed 2,05/13/2017,171-10 Linden Blvd,171-10 Linden Blvd,Linden Blvd,Merrick Blvd & 172nd Street,Queens,412,Not Applicable,Not Applicable,40.691712,-73.778923,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.74387963217843 40.76537772411083),4,Queens,411,19,26,11,3,3057,1890,General,backed,02/03/2015,242-24 Northern Boulevard,242-24 Northern Boulevard,Northern Boulevard,Douglaston Parkway and 243rd Street,Queens,411,Not Applicable,Not Applicable,40.765386,-73.743881,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82561960654155 40.760693728236774),4,Queens,407,20,40,16,6,3807,203,Senior Safety,backed 2,06/21/2017,142-41 Roosevelt Avenue,142-41 Roosevelt Avenue,Bowne Street,Bowne Street & Union Street,Queens,407,Not Applicable,Not Applicable,40.760702,-73.825621,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7399646371219 40.704917736141006),4,Queens,413,27,33,14,5,3324,1207,Municipal Facilities,backed,07/08/2016,112-18 Springfield Boulevard,112-18 Springfield Boulevard,Springfield Boulevard,112th Road & 112th Avenue,Queens,413,Not Applicable,Not Applicable,40.704926,-73.739966,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91106357753016 40.77583272769586),4,Queens,401,22,36,12,14,3514,0,General,backed,11/30/2016,22-16 31st Street,22-16 31st Street,31st Street,Ditmars Blvd & 23rd Avenue,Queens,401,Not Applicable,Not Applicable,40.775841,-73.911065,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80975261155477 40.76398972641037),4,Queens,407,20,40,16,6,2545,879,Municipal Facilities,backed,06/11/2014,155-06 Roosevelt Avenue,155-06 Roosevelt Avenue,Roosevelt Avenue,155th Street and 156th Street,Queens,407,Not Applicable,Not Applicable,40.763998,-73.809754,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.74221063675785 40.69577473756703),4,Queens,413,27,33,14,5,3622,414,General,backed 2,05/13/2017,217-20 Linden Blvd,217-20 Linden Blvd,Linden Blvd,Springfield Blvd & 219th Street,Queens,413,Not Applicable,Not Applicable,40.695783,-73.742212,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86761459566355 40.722592736778836),4,Queens,405,30,30,15,6,4221,794,Bus Route,backless 2,01/29/2019,63-76 Woodhaven Blvd,63-76 Woodhaven Blvd,Woodhaven Blvd,Penelope Avenue & Fleet Court,Queens,405,Q52,Not Applicable,40.722601,-73.867616,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84912005022689 40.7320249016044),4,Queens,406,29,27,16,6,1387,523,General,backed,06/11/2013,64-51 108th Street,64-51 108th Street,108th Street,64th Road & 65th Avenue,Queens,406,Not Applicable,Not Applicable,40.7320249016,-73.8491200502,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7497974948695 40.768480734395595),4,Queens,411,19,26,11,3,2466,644,Plaza,backless,08/19/2014,23421 41st Avenue,23421 41st Avenue,41st Avenue,235th Street,Queens,411,Not Applicable,Not Applicable,40.7684807344,-73.7497974949,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.91877057679729 40.75885073148869),4,Queens,401,26,30,12,12,829,206,General,backed,09/12/2012,40-20 Broadway,40-20 Broadway,Broadway,Steinway and 41st Streets,Queens,401,Not Applicable,Not Applicable,40.758859,-73.918772,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75537763255473 40.70640673608759),4,Queens,412,27,33,14,5,1811,431,General,backed,02/20/2013,202-13 Hollis Avenue,202-13 Hollis Avenue,Hollis Avenue,202nd & 203rd Avenue,Queens,412,Q20,Not Applicable,40.706415,-73.755379,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91850357731812 40.74416673459119),4,Queens,402,26,37,12,14,1086,315,BID,backed,02/13/2013,43-44 46th Street,43-44 46th Street,46th Street,Queens Blvd & 43rd Street,Queens,402,Not Applicable,Sunnyside Shines,40.744175,-73.918505,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88236158892624 40.755874730538345),4,Queens,403,25,34,13,14,2000,699,General,backless,09/27/2013,85-13 Northern Boulevard,85-13 Northern Boulevard,Northern Boulevard,86th & 87th Street,Queens,403,Q66,Not Applicable,40.755883,-73.882363,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89863589618182 40.712610550205596),4,Queens,405,30,28,15,6,2527,701,General,backless,11/19/2014,62-16 Metropolitan Avenue,62-16 Metropolitan Avenue,Metropolitan Avenue,Fresh Pond Road and 62nd Street,Queens,405,Q54,Not Applicable,40.7126105502,-73.8986358962,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9142255783472 40.7620947311577),4,Queens,401,22,36,12,14,2747,1435,Municipal Facilities,backed,11/12/2014,30-45 42nd Street,30-45 42nd Street,42nd Street,30th Avenue & Newtown Road,Queens,401,Not Applicable,Not Applicable,40.762103,-73.914227,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88243258869534 40.74677573217727),4,Queens,404,25,39,13,14,3966,499,Bus Route,backless 2,02/14/2018,4008 Hampton Street,4008 Hampton Street,Hampton Street,Baxter Avenue & Britton Avenue,Queens,404,Q29,Not Applicable,40.746784,-73.882434,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81776761966893 40.58543876200571),4,Queens,414,32,23,10,5,4231,530,Bus Route,backed 2,01/31/2019,95-20 Rockaway Beach Blvd,95-20 Rockaway Beach Blvd,Rockaway Beach Blvd,Beach 95th Street & Beach 96th Street,Queens,414,Q52,Not Applicable,40.585447,-73.817769,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.84189860006629 40.78527172342466),4,Queens,407,19,27,11,14,1415,526,General,backed,04/19/2013,126-11 14th Avenue,126-11 15th Ave,15th Avenue,127th Street & 15th Avenue,Queens,407,Not Applicable,Not Applicable,40.78528,-73.8419,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77984162539602 40.69141473946405),4,Queens,412,27,32,14,5,4045,84,Bus Route,backless 2,05/09/2018,170-05 Linden Boulevard,170-05 Linden Boulevard,Linden Boulevard,Merrick Boulevard & 169th Street,Queens,412,X63,Not Applicable,40.691423,-73.779843,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.7802016235254 40.71352173527941),4,Queens,408,24,29,14,5,3679,2455,Senior Safety,backed,05/13/2017,182-15 Hillside Avenue,182-15 Hillside Avenue,Hillside Avenue,Avon Street & Dalny Road,Queens,408,Q01,Not Applicable,40.71353,-73.780203,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,0,Plaza,backed,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84579959820351 40.78462072357396),4,Queens,407,19,27,11,14,1412,314,General,backed,04/19/2013,14-60 College Point Blvd,14-60 College Point Blvd,College Point Blvd,14th Avenue & 15th Avenue,Queens,407,Not Applicable,Not Applicable,40.784629,-73.845801,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78564270054105 40.77078722427099),4,Queens,411,19,26,11,6,4086,588,General,backed 2,08/02/2018,204-6 32nd Avenue,204-6 32nd Avenue,32nd Avenue,204th Street & 205th Street,Queens,411,Q28,Not Applicable,40.7707872243,-73.7856427005,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83771361308835 40.58070876379811),4,Queens,414,32,23,15,5,1955,1569,BID,backed,12/01/2014,264 Beach 116th Street,264 Beach 116th Street,Beach 116th Street,Rockaway Beach Blvd & Newport Avenue,Queens,414,Not Applicable,Beach 116th Street Partnership,40.580717,-73.837715,AE,,1
POINT (-73.93000957229228 40.76427673054406),4,Queens,401,22,36,12,12,2364,847,Senior Center,backed,02/05/2014,23-56 Broadway,23-56 Broadway,Crescent Street,Broadway & 33rd Avenue,Queens,401,Not Applicable,Not Applicable,40.764285,-73.930011,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.7701246239492 40.760115725845424),4,Queens,411,19,25,11,6,3351,806,Municipal Facilities,backed,07/07/2016,213-03 Northern Boulevard,213-03 Northern Boulevard,Northern Boulevard,Bell Boulevard & 213th Street,Queens,411,Not Applicable,Not Applicable,40.760124,-73.770126,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87401459104301 40.76277172904532),4,Queens,403,21,35,13,14,2542,1171,Municipal Facilities,backed,06/10/2014,95-06 Astoria Boulevard,95-06 Astoria Boulevard,Astoria Boulevard,95th Street and 96th Street,Queens,403,Not Applicable,Not Applicable,40.76278,-73.874016,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90322458281706 40.741338733987),4,Queens,402,26,30,12,14,2314,839,General,backed,02/05/2014,61-10 Queens Boulevard,61-10 Queens Boulevard,Queens Boulevard,60th & 61st Street,Queens,402,Not Applicable,Not Applicable,40.741347,-73.903226,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79918361947406 40.692794740634305),4,Queens,412,28,32,14,5,3256,1907,Municipal Facilities,backed,06/07/2016,108-10 Sutphin Boulevard,108-10 Sutphin Boulevard,Suthpin Boulevard,108th Avenue & Arlington Terrace,Queens,412,Not Applicable,Not Applicable,40.692803,-73.799185,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.92251857498191 40.76740372963341),4,Queens,401,22,36,12,12,3422,685,General,backed,07/12/2016,29-34 30th Avenue,29-34 30th Avenue,30th Avenue,29th Street & 30th Street,Queens,401,Not Applicable,Not Applicable,40.767412,-73.92252,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91075457815478 40.76880572954496),4,Queens,401,22,36,12,12,2468,1249,General,backed,06/10/2014,40-06 Astoria Boulevard South,40-06 Astoria Boulevard South,Astoria Boulevard South,Steinway Street & 41st Street,Queens,401,Not Applicable,Not Applicable,40.768814,-73.910756,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76011063163054 40.69227573867472),4,Queens,412,27,33,14,5,2603,814,Municipal Facilities,backed,07/10/2014,191-05 Linden Boulevard,191-05 Linden Boulevard,Linden Boulevard,191st Street and 192nd Street,Queens,412,Not Applicable,Not Applicable,40.692284,-73.760112,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83210860789174 40.70101374023239),4,Queens,409,29,27,10,5,556,144,Bus Route,backless,12/09/2013,118-14 Hillside Avenue,86-05 Lefferts Boulevard,Lefferts Boulevard,Hillside Avenue and Babbage Street,Queens,409,Q10,Not Applicable,40.701022,-73.83211,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91051757847416 40.77598872776326),4,Queens,401,22,36,13,14,3516,1809,General,backless,10/17/2016,31-04 Ditmars Blvd,31-04 Ditmars Blvd,Ditmars Blvd,31st Street & 33rd Street,Queens,401,Not Applicable,Not Applicable,40.775997,-73.910519,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82421961083271 40.70291173940224),4,Queens,409,29,27,14,5,2800,1570,Municipal Facilities,backed,11/21/2014,86-02 127th Street,86-02 127th Street,127th Street,Hillside Avenue & Jamaica Avenue,Queens,409,Not Applicable,Not Applicable,40.70292,-73.824221,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78029462027489 40.77174672443662),4,Queens,411,19,26,11,6,2981,1496,Municipal Facilities,backless,01/30/2015,32-24 Corporal Kennedy Street,32-24 Corporal Kennedy Street,Corporal Kennedy Street,32nd Avenue and 33rd Avenue,Queens,411,Q28,Not Applicable,40.771755,-73.780296,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91965357549608 40.7660947305741),4,Queens,401,22,36,12,12,2848,1671,General,backed,12/16/2014,33-01 30th Avenue,33-01 30th Avenue,30th Avenue,33rd Street and 34th Street,Queens,401,Not Applicable,Not Applicable,40.766103,-73.919655,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84567760285317 40.72048973682025),4,Queens,406,29,28,16,6,1899,628,General,backed,06/18/2013,70-35 Austin Street,70-35 Austin Street,70th Road,Austin Street & Queens Blvd,Queens,406,Not Applicable,Not Applicable,40.720498,-73.845679,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82834360542797 40.75557672900702),4,Queens,407,20,40,16,6,497,136,Bus Route,backless,06/20/2012,41-99 Main Street,41-99 Main Street,Main Street,Maple and Sanford Avenues,Queens,407,Q44,Not Applicable,40.755585,-73.828345,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.921704576461 40.74144073512378),4,Queens,402,26,37,12,14,1071,358,BID,backed,02/20/2013,43-06 47th Avenue,43-06 47th Avenue,47th Avenue,43rd & 44th Street,Queens,402,Not Applicable,Sunnyside Shines,40.741449,-73.921706,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86772959545735 40.722745736897444),4,Queens,406,29,28,15,6,4222,310,Bus Route,backless,01/29/2019,63-65 Woodhaven Blvd,63-65 Woodhaven Blvd,Woodhaven Blvd,Everton Street & Penelope Avenue,Queens,406,Q52,Not Applicable,40.722754,-73.867731,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92309457603925 40.74365673497484),4,Queens,402,26,37,12,14,1078,275,BID,backed,09/11/2012,41-16 Queens Blvd,41-16 Queens Blvd,Queens Blvd,41st and 42nd Streets,Queens,402,Not Applicable,Sunnyside Shines,40.743665,-73.923096,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8888155868495 40.74925773267641),4,Queens,403,25,39,13,14,1827,0,General,backed,06/18/2013,77-02 37th Avenue,77-02 37th Avenue,37th Avenue,77th Street & 78th Street,Queens,403,Not Applicable,Not Applicable,40.749266,-73.888817,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91156557876435 40.762262730799506),4,Queens,401,22,36,12,14,3416,1722,General,backed,07/12/2016,44-20 30th Avenue,44-20 30th Avenue,30th Avenue,44th Street & 45th Street,Queens,401,Not Applicable,Not Applicable,40.762271,-73.911567,X,AREA OF MINIMAL FLOOD HAZARD,
